209	TH_07	(0)	20	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
210	TH_08	(0)	20	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
211	TH_09	(2)	20	0.002	0.030	0.000	0.815	0.116	0.001	0.036	0.000
212	TH_10	(0)	20	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
213	TH_11	(0)	20	0.000	0.016	0.000	0.982	0.001	0.000	0.001	0.000
214	TapaN_001	(1)	21	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.998
215	TapaN_002	(0)	21	0.000	0.063	0.000	0.001	0.002	0.117	0.000	0.816
216	TapaN_003	(0)	21	0.013	0.000	0.000	0.000	0.001	0.088	0.047	0.850
217	TapaN_004	(0)	21	0.001	0.000	0.000	0.000	0.000	0.034	0.000	0.964
218	TapaN_005	(0)	21	0.010	0.007	0.000	0.000	0.001	0.054	0.001	0.927
219	TapaN_006	(2)	21	0.000	0.001	0.000	0.000	0.000	0.059	0.000	0.938
220	TapaN_007	(0)	21	0.000	0.000	0.000	0.000	0.001	0.137	0.000	0.860
221	TapaN_008	(0)	21	0.046	0.000	0.000	0.001	0.033	0.031	0.021	0.868
222	TapaN_009	(0)	21	0.002	0.025	0.000	0.000	0.000	0.095	0.001	0.876
223	TapaN_010	(1)	21	0.001	0.001	0.000	0.000	0.000	0.097	0.063	0.838
224	TapaN_011	(0)	21	0.001	0.053	0.000	0.028	0.002	0.089	0.000	0.827
225	TapaN_012	(0)	21	0.001	0.000	0.000	0.001	0.000	0.133	0.019	0.845
226	Tucs_01	(0)	22	0.002	0.028	0.017	0.002	0.007	0.881	0.032	0.030
227	Tucs_02	(0)	22	0.000	0.000	0.083	0.000	0.000	0.916	0.000	0.000
228	Tucs_03	(0)	22	0.001	0.000	0.000	0.000	0.001	0.997	0.000	0.000
229	Tucs_04	(0)	22	0.000	0.000	0.000	0.000	0.000	0.999	0.000	0.000
230	Tucs_05	(0)	22	0.000	0.033	0.001	0.000	0.002	0.909	0.018	0.036
231	Tucs_06	(0)	22	0.002	0.000	0.000	0.000	0.102	0.894	0.001	0.000
232	Tucs_07	(0)	22	0.029	0.030	0.002	0.000	0.015	0.821	0.058	0.046
233	Tucs_08	(1)	22	0.000	0.011	0.000	0.000	0.000	0.982	0.005	0.000
234	Tucs_09	(0)	22	0.000	0.000	0.000	0.003	0.004	0.990	0.002	0.000
235	Tucs_10	(0)	22	0.000	0.000	0.000	0.000	0.000	0.999	0.000	0.000
236	Tucs_11	(0)	22	0.000	0.000	0.000	0.000	0.000	0.999	0.000	0.000
237	Tucs_12	(0)	22	0.001	0.005	0.000	0.000	0.085	0.739	0.031	0.139
